0xf0:0x76:0x1c:0xa2:0x4b:0xdb 10.0.0.1 192.168.0.1 32 1
0xf0:0x76:0x1c:0x6b:0x32:0x7f 10.0.0.2 192.168.0.2 232 1
0xf0:0x76:0x1c:0xc8:0x18:0xce 10.0.0.3 192.168.0.3 70 1
0xf0:0x76:0x1c:0x05:0x4d:0x7c 10.0.0.4 192.168.0.4 69 1
0xf0:0x76:0x1c:0x61:0x36:0xcd 10.0.0.5 192.168.0.5 63 1
0xf0:0x76:0x1c:0x04:0xd6:0xc1 10.0.0.6 192.168.0.6 198 1
0xf0:0x76:0x1c:0x86:0xfa:0xcb 10.0.0.7 192.168.0.7 72 1
0xf0:0x76:0x1c:0xa7:0x76:0x0d 10.0.0.8 192.168.0.8 71 1
0xf0:0x76:0x1c:0x60:0x8e:0xc9 10.0.0.9 192.168.0.9 187 1
0xf0:0x76:0x1c:0xea:0xc4:0x6e 10.0.0.10 192.168.0.10 143 1
0xf0:0x76:0x1c:0x76:0x85:0x2d 10.0.0.11 192.168.0.11 64 1
0xf0:0x76:0x1c:0xac:0x5e:0x44 10.0.0.12 192.168.0.12 29 1
0xf0:0x76:0x1c:0x7d:0x01:0xeb 10.0.0.13 192.168.0.13 14 1
0xf0:0x76:0x1c:0x25:0x92:0xed 10.0.0.14 192.168.0.14 61 1
0xf0:0x76:0x1c:0x3e:0xc2:0xa6 10.0.0.15 192.168.0.15 69 1
0xf0:0x76:0x1c:0xea:0x6f:0x66 10.0.0.16 192.168.0.16 21 1
0xf0:0x76:0x1c:0x62:0xbd:0x39 10.0.0.17 192.168.0.17 56 1
0xf0:0x76:0x1c:0xe8:0x8a:0xa9 10.0.0.18 192.168.0.18 154 1
0xf0:0x76:0x1c:0xa8:0x46:0xc4 10.0.0.19 192.168.0.19 57 1
0xf0:0x76:0x1c:0x5f:0xc1:0x9c 10.0.0.20 192.168.0.20 53 1
0xf0:0x76:0x1c:0xe8:0xf4:0xb2 10.0.0.21 192.168.0.21 23 1
0xf0:0x76:0x1c:0x9b:0xf1:0x61 10.0.0.22 192.168.0.22 66 1
0xf0:0x76:0x1c:0xf1:0xc1:0xf9 10.0.0.23 192.168.0.23 18 1
0xf0:0x76:0x1c:0xc3:0x93:0x77 10.0.0.24 192.168.0.24 84 1
0xf0:0x76:0x1c:0x94:0x81:0x28 10.0.0.25 192.168.0.25 160 1
0xf0:0x76:0x1c:0x89:0x3d:0xa3 10.0.0.26 192.168.0.26 17 1
0xf0:0x76:0x1c:0x69:0x0e:0xd8 10.0.0.27 192.168.0.27 180 1
0xf0:0x76:0x1c:0x7e:0x1d:0x07 10.0.0.28 192.168.0.28 162 1
0xf0:0x76:0x1c:0x0b:0xaf:0xdc 10.0.0.29 192.168.0.29 19 1
0xf0:0x76:0x1c:0x93:0xab:0x66 10.0.0.30 192.168.0.30 153 1
0xf0:0x76:0x1c:0x07:0x0a:0x84 10.0.0.31 192.168.0.31 142 1
0xf0:0x76:0x1c:0x8c:0x68:0x66 10.0.0.32 192.168.0.32 142 1
0xf0:0x76:0x1c:0x40:0x41:0x83 10.0.0.33 192.168.0.33 172 1
0xf0:0x76:0x1c:0x99:0x36:0x0d 10.0.0.34 192.168.0.34 5 1
0xf0:0x76:0x1c:0xa1:0xdd:0xf3 10.0.0.35 192.168.0.35 198 1
0xf0:0x76:0x1c:0x7c:0x9a:0xab 10.0.0.36 192.168.0.36 147 1
0xf0:0x76:0x1c:0x7f:0x2d:0x4b 10.0.0.37 192.168.0.37 70 1
0xf0:0x76:0x1c:0x52:0x15:0x04 10.0.0.38 192.168.0.38 23 1
0xf0:0x76:0x1c:0x1f:0x4c:0xff 10.0.0.39 192.168.0.39 199 1
0xf0:0x76:0x1c:0x2d:0xa2:0x93 10.0.0.40 192.168.0.40 31 1
0xf0:0x76:0x1c:0xcf:0xbe:0xd4 10.0.0.41 192.168.0.41 201 1
0xf0:0x76:0x1c:0x9e:0x93:0xb9 10.0.0.42 192.168.0.42 30 1
0xf0:0x76:0x1c:0x32:0x5a:0x0f 10.0.0.43 192.168.0.43 62 1
0xf0:0x76:0x1c:0x5a:0xc9:0x0e 10.0.0.44 192.168.0.44 170 1
0xf0:0x76:0x1c:0x49:0x18:0x13 10.0.0.45 192.168.0.45 107 1
0xf0:0x76:0x1c:0xbb:0xbc:0x53 10.0.0.46 192.168.0.46 92 1
0xf0:0x76:0x1c:0x14:0xde:0x43 10.0.0.47 192.168.0.47 96 1
0xf0:0x76:0x1c:0xa6:0x65:0xdb 10.0.0.48 192.168.0.48 31 1
0xf0:0x76:0x1c:0x6d:0x72:0xd9 10.0.0.49 192.168.0.49 155 1
0xf0:0x76:0x1c:0x8a:0xff:0xfd 10.0.0.50 192.168.0.50 225 1
0xf0:0x76:0x1c:0x0d:0x76:0xc7 10.0.0.51 192.168.0.51 217 1
0xf0:0x76:0x1c:0xa8:0x1c:0xb3 10.0.0.52 192.168.0.52 163 1
